,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,aide,help
6,demande,request
7,genre,kind
8,mois,month
9,frère,brother
10,laisser,let
11,car,because
12,mettre,to put
13,aucun,no
14,laisse,leash
15,eux,them
16,ville,city
17,chaque,each
18,parlé,speak
19,arrivé,come
20,devrait,should
21,bébé,baby
22,longtemps,long time
23,heures,hours
24,vont,will
25,pendant,while
26,revoir,meet again
27,aucune,any
28,place,square
29,parle,speak
30,compris,understood
31,savais,knew
32,étaient,were
33,attention,Warning
34,pourrais,could
35,affaire,case
36,donner,give
37,type,type
38,leurs,their
39,donné,given
40,train,train
41,corps,body
42,endroit,place
43,yeux,eyes
44,façon,way
45,écoute,listen
46,dont,whose
47,trouve,find
48,premier,first
49,perdu,lost
50,main,hand
51,première,first
52,côté,side
53,pouvoir,power
54,vieux,old
55,sois,be
56,tiens,here
57,matin,morning
58,tellement,so much
59,enfant,child
60,point,point
61,venu,came
62,suite,after
63,pardon,sorry
64,devant,in front of
65,vers,towards
66,minutes,minutes
67,demandé,request
68,chambre,bedroom
69,belle,beautiful
70,droit,law
71,aimerais,would like to
72,mari,husband
73,cause,cause
74,enfin,finally
75,espère,hope
76,eau,water
77,attendez,Wait
78,parti,left
79,nouvelle,new
80,boulot,job
81,arrêter,Stop
82,dirait,would say
83,terre,Earth
84,compte,account
85,donne,given
86,fin,end
87,croire,believe
88,chérie,sweetheart
89,gros,large
90,plutôt,rather
91,aura,will have
92,filles,girls
93,jouer,to play
94,bureau,office
